sample_id,question,step_id,step_text,confidence_logprob,correctness_label,ambiguous,entailment_prob,neutral_prob,contradiction_prob,best_evidence
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,1,The woman who portrayed Corliss Archer in the film Kiss and Tell was Shirley Temple.,0.261829,correct,False,0.9982,0.0017,0.0001,Kiss and Tell is a 1945 American comedy film starring then 17-year-old Shirley Temple as Corliss Archer.
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,2,Shirley Temple held the government position of Chief of Protocol of the United States.,0.132483,ambiguous,True,0.0065,0.9911,0.0024," As an adult, she was named United States ambassador to Ghana and to Czechoslovakia and also served as Chief of Protocol of the United States."
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",1,The science fantasy young adult series that fits this description is 'The Hunger Games' by Suzanne Collins.,0.177009,ambiguous,True,0.0004,0.9822,0.0174," The book is introduced by Tobias, who flies to the valley of the free Hork-Bajir, where Jara Hamee tells him the story of how the Yeerks enslaved the Hork-Bajir, and how Aldrea, an Andalite, and her companion, Dak Hamee, a Hork-Bajir, tried to save their world from the invasion."
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",2,The companion books to 'The Hunger Games' are called 'The Hunger Games: The Ballad of Songbirds and Snakes'.,0.265886,ambiguous,True,0.0001,0.9743,0.0255," With respect to continuity within the series, it takes place before book #23, ""The Pretender"", although the events told in the story occur between the time of ""The Ellimist Chronicles"" and ""The Andalite Chronicles""."
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",3,"The series is told in first person by the protagonist, Katniss Everdeen.",0.335535,ambiguous,True,0.0002,0.9839,0.0159," It is told in first person, with all six main characters taking turns narrating the books through their own perspectives."
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,1,"The Laleli Mosque is located in the Laleli neighborhood of Fatih, Istanbul.",0.222273,correct,False,0.9855,0.0144,0.0001,"The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey."
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,2,The Esma Sultan Mansion is located in the Ortakoy neighborhood of Istanbul.,0.295331,correct,False,0.9963,0.0033,0.0004,"The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped."
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",1,The romantic comedy Big Stone Gap was directed by Adriana Trigiani.,0.153971,correct,False,0.9983,0.0016,0.0001,"Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society."
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,1,"The South Korean boy group EXO released their debut album ""2014 S/S"".",0.067135,ambiguous,True,0.0182,0.7407,0.241,"Winner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014."
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,2,EXO was formed by SM Entertainment.,0.393237,incorrect,False,0.0002,0.0028,0.9971,2014 S/S is the debut album of South Korean group WINNER.
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,1,Aladin is a character from the Disney film Aladdin.,0.076704,incorrect,False,0.2241,0.2498,0.5261,"Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement."
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,2,The Disney film Aladdin features a genie who helps Aladdin on his quest to find treasure and marry Princess Jasmine.,0.244736,ambiguous,True,0.0013,0.9983,0.0004,"Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement."
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,3,The character of the genie in Aladdin is portrayed by actor Robin Williams.,0.144695,ambiguous,True,0.0003,0.9959,0.0038,"Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement."
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,1,The Lewiston Maineiacs played their home games at the Androscoggin Bank Coliseum.,0.284544,ambiguous,True,0.0029,0.997,0.0001, The team played its home games at the Androscoggin Bank Colisée.
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,2,"The Androscoggin Bank Coliseum has a seating capacity of 6,783 people.",0.38958,ambiguous,True,0.0002,0.9997,0.0001, The team played its home games at the Androscoggin Bank Colisée.
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",1,"Annie Morton was born on July 28, 1963. Terry Richardson was born on January 20, 1954.",0.11466,incorrect,False,0.0001,0.0002,0.9997,"Annie Morton (born October 8, 1970) is an American model born in Pennsylvania."
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",2,Terry Richardson is older than Annie Morton.,0.215603,correct,False,0.9911,0.0085,0.0004,"Terrence ""Uncle Terry"" Richardson (born August 14, 1965) is an American fashion and portrait photographer who has shot advertising campaigns for Marc Jacobs, Aldo, Supreme, Sisley, Tom Ford, and Yves Saint Laurent among others."
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,1,Local H is a band from the United States.,0.158776,correct,False,0.9977,0.0022,0.0,"Local H is an American rock band originally formed by guitarist and vocalist Scott Lucas, bassist Matt Garcia, drummer Joe Daniels, and lead guitarist John Sparkman in Zion, Illinois in 1987."
